sdg,doi,keys
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Homicide', 'link': 'https://sdg-pathfinder.org/topic/homicide'}, {'key': 'Intentional Homicide', 'link': 'https://sdg-pathfinder.org/topic/intentional-homicide'}, {'key': 'Child Abuse', 'link': 'https://sdg-pathfinder.org/topic/child-abuse'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Illicit Financial Flows', 'link': 'https://sdg-pathfinder.org/topic/illicit-financial-flows'}, {'key': 'Illicit Flows', 'link': 'https://sdg-pathfinder.org/topic/illicit-flows'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Child Abuse', 'link': 'https://sdg-pathfinder.org/topic/child-abuse'}, {'key': 'Child Welfare', 'link': 'https://sdg-pathfinder.org/topic/child-welfare'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Bribery', 'link': 'https://sdg-pathfinder.org/topic/bribery'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Child Sexual Abuse', 'link': 'https://sdg-pathfinder.org/topic/child-sexual-abuse'}, {'key': 'Sexual Abuse', 'link': 'https://sdg-pathfinder.org/topic/sexual-abuse'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'School Violence', 'link': 'https://sdg-pathfinder.org/topic/school-violence'}, {'key': 'Sexual Abuse', 'link': 'https://sdg-pathfinder.org/topic/sexual-abuse'}, {'key': 'Child Abuse', 'link': 'https://sdg-pathfinder.org/topic/child-abuse'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Child Abuse', 'link': 'https://sdg-pathfinder.org/topic/child-abuse'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Trafficking Flows', 'link': 'https://sdg-pathfinder.org/topic/trafficking-flows'}, {'key': 'Human Trafficking', 'link': 'https://sdg-pathfinder.org/topic/human-trafficking'}, {'key': 'Domestic Trafficking', 'link': 'https://sdg-pathfinder.org/topic/domestic-trafficking'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Armed Violence', 'link': 'https://sdg-pathfinder.org/topic/armed-violence'}, {'key': 'Human Rights', 'link': 'https://sdg-pathfinder.org/topic/human-rights'}, {'key': 'Crime Prevention', 'link': 'https://sdg-pathfinder.org/topic/crime-prevention'}, {'key': 'Violence Prevention', 'link': 'https://sdg-pathfinder.org/topic/violence-prevention'}, {'key': 'Criminal Justice', 'link': 'https://sdg-pathfinder.org/topic/criminal-justice'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Bribery', 'link': 'https://sdg-pathfinder.org/topic/bribery'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Child Prostitution', 'link': 'https://sdg-pathfinder.org/topic/child-prostitution'}, {'key': 'Sexual Exploitation', 'link': 'https://sdg-pathfinder.org/topic/sexual-exploitation'}, {'key': 'Sexual Abuse', 'link': 'https://sdg-pathfinder.org/topic/sexual-abuse'}, {'key': 'Criminal Justice', 'link': 'https://sdg-pathfinder.org/topic/criminal-justice'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Discriminatory Attitudes', 'link': 'https://sdg-pathfinder.org/topic/discriminatory-attitudes'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Armed Violence', 'link': 'https://sdg-pathfinder.org/topic/armed-violence'}, {'key': 'Violence Prevention', 'link': 'https://sdg-pathfinder.org/topic/violence-prevention'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Sexual Violence', 'link': 'https://sdg-pathfinder.org/topic/sexual-violence'}, {'key': 'Human Rights', 'link': 'https://sdg-pathfinder.org/topic/human-rights'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Freedom Of Information', 'link': 'https://sdg-pathfinder.org/topic/freedom-of-information'}, {'key': 'Citizen Engagement', 'link': 'https://sdg-pathfinder.org/topic/citizen-engagement'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Armed Violence', 'link': 'https://sdg-pathfinder.org/topic/armed-violence'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Justice System', 'link': 'https://sdg-pathfinder.org/topic/justice-system'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Illicit Financial Flows', 'link': 'https://sdg-pathfinder.org/topic/illicit-financial-flows'}, {'key': 'Bribery', 'link': 'https://sdg-pathfinder.org/topic/bribery'}, {'key': 'Illicit Flows', 'link': 'https://sdg-pathfinder.org/topic/illicit-flows'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Human Trafficking', 'link': 'https://sdg-pathfinder.org/topic/human-trafficking'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Corruption Prevention', 'link': 'https://sdg-pathfinder.org/topic/corruption-prevention'}, {'key': 'Anti-corruption Measures', 'link': 'https://sdg-pathfinder.org/topic/anti-corruption-measures'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Bribery', 'link': 'https://sdg-pathfinder.org/topic/bribery'}, {'key': 'Corrupt Activities', 'link': 'https://sdg-pathfinder.org/topic/corrupt-activities'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Armed Violence', 'link': 'https://sdg-pathfinder.org/topic/armed-violence'}, {'key': 'Violence Prevention', 'link': 'https://sdg-pathfinder.org/topic/violence-prevention'}, {'key': 'Violence Reduction', 'link': 'https://sdg-pathfinder.org/topic/violence-reduction'}, {'key': 'Homicide', 'link': 'https://sdg-pathfinder.org/topic/homicide'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Arms Control', 'link': 'https://sdg-pathfinder.org/topic/arms-control'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Sexual Violence', 'link': 'https://sdg-pathfinder.org/topic/sexual-violence'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Illicit Financial Flows', 'link': 'https://sdg-pathfinder.org/topic/illicit-financial-flows'}, {'key': 'Bribery', 'link': 'https://sdg-pathfinder.org/topic/bribery'}, {'key': 'Tax Evasion', 'link': 'https://sdg-pathfinder.org/topic/tax-evasion'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Bribery Offences', 'link': 'https://sdg-pathfinder.org/topic/bribery-offences'}, {'key': 'Bribery', 'link': 'https://sdg-pathfinder.org/topic/bribery'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Illicit Financial Flows', 'link': 'https://sdg-pathfinder.org/topic/illicit-financial-flows'}, {'key': 'Illicit Flows', 'link': 'https://sdg-pathfinder.org/topic/illicit-flows'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Justice System', 'link': 'https://sdg-pathfinder.org/topic/justice-system'}, {'key': 'Justice Institutions', 'link': 'https://sdg-pathfinder.org/topic/justice-institutions'}, {'key': 'Crime Prevention', 'link': 'https://sdg-pathfinder.org/topic/crime-prevention'}, {'key': 'Criminal Justice', 'link': 'https://sdg-pathfinder.org/topic/criminal-justice'}, {'key': 'Violence Prevention', 'link': 'https://sdg-pathfinder.org/topic/violence-prevention'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Islamic State', 'link': 'https://sdg-pathfinder.org/topic/islamic-state'}, {'key': 'Citizen Security', 'link': 'https://sdg-pathfinder.org/topic/citizen-security'}, {'key': 'Homicide Rate', 'link': 'https://sdg-pathfinder.org/topic/homicide-rate'}, {'key': 'Organised Crime', 'link': 'https://sdg-pathfinder.org/topic/organised-crime'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Crime Prevention', 'link': 'https://sdg-pathfinder.org/topic/crime-prevention'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Human Trafficking', 'link': 'https://sdg-pathfinder.org/topic/human-trafficking'}, {'key': 'Trafficked Persons', 'link': 'https://sdg-pathfinder.org/topic/trafficked-persons'}, {'key': 'Sexual Exploitation', 'link': 'https://sdg-pathfinder.org/topic/sexual-exploitation'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Sexual Violence', 'link': 'https://sdg-pathfinder.org/topic/sexual-violence'}, {'key': 'Human Rights', 'link': 'https://sdg-pathfinder.org/topic/human-rights'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Sexual Violence', 'link': 'https://sdg-pathfinder.org/topic/sexual-violence'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Organised Crime', 'link': 'https://sdg-pathfinder.org/topic/organised-crime'}, {'key': 'Islamic State', 'link': 'https://sdg-pathfinder.org/topic/islamic-state'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Justice Institutions', 'link': 'https://sdg-pathfinder.org/topic/justice-institutions'}, {'key': 'Justice System', 'link': 'https://sdg-pathfinder.org/topic/justice-system'}, {'key': 'Civil Justice', 'link': 'https://sdg-pathfinder.org/topic/civil-justice'}, {'key': 'Criminal Justice', 'link': 'https://sdg-pathfinder.org/topic/criminal-justice'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Civil Registration', 'link': 'https://sdg-pathfinder.org/topic/civil-registration'}, {'key': 'Birth Registration', 'link': 'https://sdg-pathfinder.org/topic/birth-registration'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Bribery', 'link': 'https://sdg-pathfinder.org/topic/bribery'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Corruption Prevention', 'link': 'https://sdg-pathfinder.org/topic/corruption-prevention'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Justice System', 'link': 'https://sdg-pathfinder.org/topic/justice-system'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Illicit Financial Flows', 'link': 'https://sdg-pathfinder.org/topic/illicit-financial-flows'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Freedom Of Information', 'link': 'https://sdg-pathfinder.org/topic/freedom-of-information'}]"
